"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Apogonidae","Ostorhinchus","aureus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Apogonidae","Ostorhinchus","semilineatus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Balistidae","Sufflamen","fraenatum",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Balistidae","Unknown","spp",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Balistidae","Xanthichthys","lineopunctatus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Caesionidae","Pterocaesio","chrysozona",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Carangoides","chrysophrys",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Carangoides","fulvoguttatus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Carangoides","gymnostethus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Carangoides","spp",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Decapterus","muroadsi",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Gnathanodon","speciosus",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
"2021-05_PtCloates_BOSS.1","2021-05_PtCloates_BOSS","1","Carangidae","Seriola","spp",NA,0,NA,-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes"
