"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"1","16","L041 (10).MP4","20148","R042 (10).MP4","21100","1","30.16819",515.39975,"2.25456","5.28573","1751.13208","9.58345","8.69685","4.27816","202.50922","209.72094","-1726.69357","Carangidae","Carangoides","chrysophrys","37337011",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","18","L041 (10).MP4","40826","R042 (10).MP4","41778","1","35.91783",444.59001,"3.23256","4.20769","1311.43950","12.45305","39.97977","4.36687","279.74310","-41.45587","-1280.58532","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","19","L041 (10).MP4","41109","R042 (10).MP4","42061","1","35.99652",454.00785,"1.95266","3.36849","1539.81489","13.85950","5.88822","18.15821","-358.01450","-88.74642","-1494.98481","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","20","L041 (10).MP4","50628","R042 (10).MP4","51580","1","38.64333",571.24746,"6.67225","4.05150","2563.70609","8.17765","19.56202","0.76921","-218.53839","291.93180","-2537.63782","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","21","L041 (10).MP4","50751","R042 (10).MP4","51703","1","38.67753",491.57232,"5.70766","2.54466","2946.71523","8.09397","11.34454","0.84245","-236.40411","340.94843","-2917.36147","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","24","L041 (10).MP4","50838","R042 (10).MP4","51790","1","38.70172",472.30354,"8.19776","0.73311","3136.44510","8.02808","15.72580","13.91716","-410.25010","153.51163","-3105.70715","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","25","L041 (10).MP4","50857","R042 (10).MP4","51809","1","38.70700",542.92586,"3.49860","3.13273","2291.69682","3.49453","10.17708","5.98547","121.25854","69.34417","-2287.43570","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","26","L041 (10).MP4","51018","R042 (10).MP4","51970","1","38.75177",486.80801,"10.65977","8.90005","3863.01997","16.12984","1.70011","11.23803","-1022.78043","325.09815","-3710.95064","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","27","L041 (10).MP4","51044","R042 (10).MP4","51996","1","38.75900",491.33748,"4.23634","7.34763","2654.42258","6.81952","9.59582","5.24419","170.35694","265.18758","-2635.64286","Lutjanidae","Pristipomoides","filamentosus","37346032",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","28","L041 (11).MP4","43630","R042 (11).MP4","44582","1","59.23696",680.23374,"1.51080","7.49652","1169.87972","16.75158","7.47193","16.09839","287.13994","-176.76241","-1120.23402","Triakidae","Hemitriakis","falcata","37017009",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","29","L041 (11).MP4","43630","R042 (11).MP4","44582","1","59.23696",683.0294,"13.31007","10.20928","3570.45784","22.55514","11.96063","2.45513","1365.64109","103.12056","-3297.35648","Triakidae","Hemitriakis","falcata","37017009",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","30","L041 (11).MP4","44039","R042 (11).MP4","44991","1","59.35068",677.34858,"21.09160","4.22438","4651.69291","9.12009","20.05472","11.37183","-531.92619","510.57350","-4592.88756","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","31","L041 (11).MP4","44491","R042 (11).MP4","45443","1","59.47636",675.92878,"12.55817","8.62575","3326.73324","10.61998","22.06740","1.85572","-590.22758","165.89065","-3269.75010","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","32","L041 (11).MP4","44664","R042 (11).MP4","45616","1","59.52446",793.07401,"13.32271","12.86560","4870.63448","11.70922","1.36003","7.35419","-918.95567","364.13342","-4769.27747","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"10","0","L035 (10).MP4","42039","R036 (10).MP4","43667","1","5.94288",124.04252,"4.54131","5.36635","1978.73845","23.33129","17.71815","0.51361","756.70763","-203.80734","-1816.93753","Nemipteridae","Nemipterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","5","L035 (11).MP4","66781","R036 (11).MP4","68409","1","35.36199",128.12835,"2.90418","2.17185","1821.03539","15.71993","9.66497","11.82190","-485.68052","-86.83968","-1752.92418","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","6","L035 (11).MP4","66935","R036 (11).MP4","68563","1","35.40481",136.76908,"1.93086","2.81027","1316.41086","5.98068","20.49156","4.92967","81.63996","-110.21805","-1309.24575","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","8","L035 (11).MP4","67010","R036 (11).MP4","68638","1","35.42567",128.57012,"1.86868","1.54311","1797.62334","10.02296","0.93342","0.66735","-286.97203","-124.62190","-1770.18815","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","10","L035 (11).MP4","67033","R036 (11).MP4","68661","1","35.43206",131.66761,"2.72874","2.38187","2076.29460","5.98851","11.20501","9.53913","52.18795","-210.23717","-2064.96393","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","11","L035 (11).MP4","67088","R036 (11).MP4","68716","1","35.44736",131.78178,"4.83755","2.82523","1837.00540","3.21181","29.75050","1.68213","99.78949","25.20074","-1834.11991","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","12","L035 (11).MP4","67101","R036 (11).MP4","68729","1","35.45097",132.34629,"8.18334","9.08485","2312.30299","25.11227","36.30236","6.65010","976.33579","98.84048","-2093.73926","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","15","L035 (11).MP4","67116","R036 (11).MP4","68744","1","35.45514",133.72967,"0.78413","3.10477","905.68671","14.93216","9.72124","4.52085","123.10453","-198.26304","-875.10312","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","16","L035 (11).MP4","67116","R036 (11).MP4","68744","1","35.45514",123.19967,"1.02281","1.02606","1155.61797","12.51966","0.45197","4.86666","-207.20898","-140.78008","-1128.13931","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","17","L035 (11).MP4","67116","R036 (11).MP4","68744","1","35.45514",148.25355,"1.85510","4.12624","1455.65772","12.96868","11.02897","8.52653","311.13010","-99.57632","-1418.52811","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","18","L035 (11).MP4","67116","R036 (11).MP4","68744","1","35.45514",132.74402,"2.71925","4.20859","1276.90540","25.77199","44.68429","15.43716","493.05189","-255.21009","-1149.89349","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","19","L035 (11).MP4","67117","R036 (11).MP4","68745","1","35.45542",156.24833,"2.77309","5.18468","1481.38001","22.67838","21.70113","7.99245","561.63234","-103.87647","-1366.84510","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","20","L035 (11).MP4","67117","R036 (11).MP4","68745","1","35.45542",138.48558,"12.03489","5.28749","2564.84852","9.86870","41.45785","1.12357","418.56994","134.31308","-2526.89674","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","41","L035 (11).MP4","67132","R036 (11).MP4","68760","1","35.45959",151.88351,"11.81379","10.96805","3073.87233","22.26233","24.00114","11.01203","1149.44153","186.85141","-2844.74284","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","46","L035 (11).MP4","67157","R036 (11).MP4","68785","1","35.46654",169.49713,"3.12211","4.76471","1771.24054","24.80493","0.39414","2.93441","704.99539","234.86729","-1607.82832","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","49","L035 (11).MP4","67170","R036 (11).MP4","68798","1","35.47016",138.0196,"3.43831","1.10981","1972.25999","13.87680","12.36550","13.10110","-472.91933","-9.60027","-1914.69700","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","50","L035 (11).MP4","67172","R036 (11).MP4","68800","1","35.47071",135.64914,"4.45761","4.12134","1831.73134","15.21792","25.87045","0.74089","478.35405","-48.56436","-1767.50067","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","52","L035 (11).MP4","67177","R036 (11).MP4","68805","1","35.47210",140.81709,"2.56157","2.31870","1492.12506","4.13031","22.08289","6.89659","-91.08364","57.04071","-1488.24975","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","53","L035 (11).MP4","67179","R036 (11).MP4","68807","1","35.47266",145.90938,"1.11822","1.37846","929.72895","20.67333","19.21819","5.97759","-299.28570","-134.77255","-869.86226","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","58","L035 (11).MP4","67291","R036 (11).MP4","68919","1","35.50380",171.51717,"4.06449","5.02431","1826.73538","16.78368","22.32987","9.39036","527.29992","-14.02863","-1748.91971","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","59","L035 (11).MP4","67338","R036 (11).MP4","68966","1","35.51687",135.31869,"1.55215","0.85765","1585.71928","7.30446","5.58127","0.92915","-196.02706","47.12227","-1572.85044","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","60","L035 (11).MP4","67339","R036 (11).MP4","68967","1","35.51715",112.71232,"2.37480","2.59023","2062.01060","6.81487","8.34365","9.12916","-155.64929","-188.79199","-2047.44197","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","61","L035 (11).MP4","67347","R036 (11).MP4","68975","1","35.51937",165.03488,"7.00163","4.88911","2642.40442","7.52942","19.75790","3.22616","315.93700","141.67450","-2619.62082","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","64","L035 (11).MP4","67521","R036 (11).MP4","69149","1","35.56775",162.16576,"1.98253","3.15396","1831.28584","7.79286","6.71888","16.05933","231.19947","-90.57395","-1814.37344","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","65","L035 (11).MP4","67576","R036 (11).MP4","69204","1","35.58305",143.09594,"4.68627","2.54666","2078.14150","10.18249","20.90095","4.05112","330.19791","161.05554","-2045.41012","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","66","L035 (11).MP4","67649","R036 (11).MP4","69277","1","35.60335",122.07974,"8.26957","4.54604","2519.44128","6.73048","27.03639","1.02500","292.47780","40.55614","-2502.07840","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"10","67","L035 (11).MP4","67702","R036 (11).MP4","69330","1","35.61808",162.34819,"1.96193","2.45452","1841.77070","9.44089","0.30326","2.71203","-296.94363","55.60920","-1816.82454","Sparidae","Dentex","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6734","113.524","20210518","15:27","Point Cloates","No-take","inNP.10","197","Charlotte Aston","Yes","Yes"
"11","8","L039 (11).MP4","26264","R040 (11).MP4","27007","1","21.28654",281.20158,"6.08987","11.57571","3827.42042","12.46079","1.67907","12.80587","-511.85243","648.09877","-3737.26131","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","9","L039 (11).MP4","26264","R040 (11).MP4","27007","1","21.28654",259.27156,"5.61292","14.47852","4275.47429","9.51009","2.55323","16.79481","-320.45182","629.53243","-4216.71436","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","10","L039 (11).MP4","26274","R040 (11).MP4","27017","1","21.28932",273.38496,"10.48747","19.85946","4120.08547","14.69685","6.28061","7.49979","836.67024","626.58178","-3985.28324","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","11","L039 (11).MP4","26283","R040 (11).MP4","27026","1","21.29183",282.72674,"13.28224","8.55797","3477.17268","20.55412","23.47832","10.38187","-834.87977","890.70035","-3255.81918","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","12","L039 (11).MP4","26284","R040 (11).MP4","27027","1","21.29210",297.27687,"6.05805","16.58907","4058.84900","10.27750","1.78669","8.61656","464.61058","555.47173","-3993.72550","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","13","L039 (11).MP4","26286","R040 (11).MP4","27029","1","21.29266",241.04746,"9.50439","12.62464","4877.43168","6.68657","7.57134","8.13693","-192.79352","534.19208","-4844.25529","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","16","L039 (11).MP4","26369","R040 (11).MP4","27112","1","21.31574",228.17542,"4.65400","18.70573","4739.18005","12.21470","2.35821","8.87398","-6.67727","1002.67203","-4631.89289","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","20","L039 (12).MP4","14020","R040 (12).MP4","14823","1","40.43845",120.08026,"1.01439","3.53822","1169.94144","20.95918","2.41549","6.53598","-214.14595","-359.55031","-1092.53286","Apogonidae",NA,"spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"11","21","L039 (12).MP4","14426","R040 (12).MP4","15229","1","40.55134",360.7498,"12.61217","13.77396","3372.10813","26.79986","14.14056","4.90300","1520.39941","-1.85613","-3009.89957","Lethrinidae","Gymnocranius","grandoculis","37351005",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
